Hostname,IP_Address,BGP_Configured
rAWNZcha09,10.37.255.95,Yes
rAWCNguz02,10.41.255.16,Yes
rAWINamd09,10.40.255.9,Yes
rCWCNhog21,10.162.255.11,Yes
rCWCNhog22,10.162.255.12,Yes
rAWCNtib02,10.41.255.132,Yes
rCWCNshh01,10.162.255.23,Yes
rAWSAriy01,10.99.255.73,Yes
rAWSAriy09,10.99.255.75,Yes
rAWKRchu01,10.39.255.92,Yes
rAWKRchu09,10.39.255.93,Yes
rAWKRyon01,10.39.255.74,Yes
rCWCNshh21,10.162.255.21,Yes
rCWCNshh22,10.162.255.22,Yes
rCWCNshh02,10.162.255.24,Yes
rAWKRyon09,10.39.255.75,Yes
rIWCNshh02,192.168.255.82,Yes
rIWCNshh01,192.168.255.81,Yes
rIWCNshh04,192.168.255.84,Yes
rAWCNszh02,10.35.255.149,Yes
rAWCNsha02,10.41.255.41,Yes
rAWCNgun01,10.35.255.41,Yes
rCWCNgua21,10.41.255.33,Yes
rAWMYkll01,10.38.255.144,Yes
rAWAUblc01,10.37.255.162,Yes
rAWMYkll09,10.38.255.145,Yes
rAWJPyao09,10.33.255.201,Yes
rIWCNshh03,192.168.255.83,Yes
rAWAUgrw01,10.37.255.182,Yes
rAWJPspa09,10.33.255.177,Yes
rVWSGsie31,10.160.255.31,Yes
rAWTWtap09,10.38.255.3,Yes
rAWJPchj01,10.33.255.240,Yes
rAWCNkow09,10.38.255.25,Yes
rAWTHraj09,10.34.255.133,Yes
rAWIEdln09,10.111.255.17,Yes
rAWVNhch02,10.38.255.32,Yes
rAWTRsis09,10.96.255.2,Yes
rAWVNhch01,10.38.255.31,Yes
rDWTRsis01,10.96.255.1,Yes
rAWKRdae02,10.39.255.16,Yes
rVLCNshh01,10.162.255.30,Yes
rAWGRmak02,10.124.255.117,Yes
rAWKRdaj02,10.39.255.46,Yes
rAWAUblc02,10.37.255.163,Yes
rDWAEdua01,10.97.255.192,Yes
rAWSElnd02,10.230.255.65,Yes
rAWAEdua09,10.97.255.193,Yes
rAWRUmow09,10.96.255.6,Yes
rAWAUgrw02,10.37.255.183,Yes
rAWKRkwa02,10.39.255.36,Yes
rAWMTsnw01,10.124.255.9,Yes
rAWMTsnw09,10.124.255.10,Yes
rAWPLblo02,10.99.255.55,Yes
rAWUAkie01,10.99.255.249,Yes
rAWGBoxf01,10.117.255.72,Yes
rAWGBchs01,10.115.255.144,Yes
rAWGBchs09,10.115.255.145,Yes
rAWGBoxf09,10.117.255.73,Yes
rDWTRakr01,10.96.255.208,Yes
rAWSIlju09,10.99.255.206,Yes
rAWSIlju01,10.99.255.205,Yes
rDWTRakr02,10.96.255.209,Yes
rAWTUtui02,10.99.255.163,Yes
rAWDErst02,10.240.255.100,Yes
rAWTUtui01,10.99.255.162,Yes
rDWSElnd01,10.230.255.64,Yes
rAWRUmow01,10.96.255.5,Yes
rAWPOblo01,10.99.255.50,Yes
rAWZAbyn01,10.124.255.89,Yes
rAWZAbyn09,10.124.255.90,Yes
rDWIEdln01,10.111.255.16,Yes
rAWSEksa01,10.107.255.41,Yes
rAWSEksa05,10.107.255.42,Yes
rAWGBswn02,10.103.255.17,Yes
rAWILtel09,10.124.255.94,Yes
rAWGBsta09,10.103.255.153,Yes
rAWGBlod02,10.103.255.137,Yes
rAWGBlod01,10.103.255.136,Yes
rAWGBsta01,10.103.255.152,Yes
rAWILtel01,10.124.255.93,Yes
rAWDEhaw01,10.102.255.103,Yes
rAWGBswn01,10.103.255.16,Yes
rAWDEhec01,10.227.255.1,Yes
rAWDEhec02,10.227.255.2,Yes
rAWSElud01,10.224.255.1,Yes
rAWSElud02,10.224.255.2,Yes
rAWBEbra01,10.98.255.191,Yes
rAWBEbra05,10.98.255.193,Yes
rAWITmed01,10.225.255.1,Yes
rCWDEfra22,10.119.255.22,Yes
rCWDEfra25,10.119.255.25,Yes
rCWDEfra26,10.119.255.26,Yes
rAWITmed02,10.225.255.2,Yes
rCWDEfra21,10.119.255.21,Yes
rVWDEfra31,10.119.255.31,Yes
rDWSEkit01,10.230.255.32,Yes
rAWSEksa09,10.107.255.43,Yes
rAWDEbie01,10.102.255.166,Yes
rAWITmon01,10.121.255.32,Yes
rAWGBels01,10.117.255.192,Yes
rAWGBels02,10.117.255.193,Yes
rAWSEros01,10.107.255.192,Yes
rAWSEros05,10.107.255.196,Yes
rAWSAdam01,10.98.255.96,Yes
rAWSAdam09,10.98.255.97,Yes
rAWSEros02,10.107.255.193,Yes
